Skill_Category,Correlation
Writing and reading,0.8421455267238181
Speaking and listening,0.7899909626593267
Computers and information technology,0.7796913651200278
Critical and analytical thinking,0.7035677928482086
Adaptability,0.5971648004666104
Problem solving and decision making,0.5173259727486937
Mathematics,0.4769895311004633
Creativity and innovation,0.42246040562631876
Interpersonal,0.33698578607689017
Project management,0.3281882862666639
Leadership,0.24633172642016726
Customer service,0.24301824004573339
Science,0.07613376578595119
Detail oriented,-0.0938841884344273
Mechanical,-0.6986317962237568
Fine motor,-0.8039491264599997
Physical strength and stamina,-0.9499789756177739
